video_id,gloss,split,video_path,landmark_path,num_frames,feature_dim,detection_rate,status
69302,DRINK,val,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\69302.mp4,C:\SAYSAI\02_clean_data\landmarks\69302.npy,77,126,0.7013,ok
70173,DRINK,val,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\70173.mp4,C:\SAYSAI\02_clean_data\landmarks\70173.npy,122,126,0.4918,ok
68042,DRINK,val,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\68042.mp4,C:\SAYSAI\02_clean_data\landmarks\68042.npy,88,126,0.6364,ok
68041,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\68041.mp4,C:\SAYSAI\02_clean_data\landmarks\68041.npy,88,126,0.5455,ok
17725,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17725.mp4,C:\SAYSAI\02_clean_data\landmarks\17725.npy,70,126,0.6286,ok
17728,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17728.mp4,C:\SAYSAI\02_clean_data\landmarks\17728.npy,67,126,0.9254,ok
17710,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17710.mp4,C:\SAYSAI\02_clean_data\landmarks\17710.npy,70,126,0.4286,ok
17729,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17729.mp4,C:\SAYSAI\02_clean_data\landmarks\17729.npy,72,126,0.7639,ok
17730,DRINK,test,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17730.mp4,C:\SAYSAI\02_clean_data\landmarks\17730.npy,82,126,0.6585,ok
17731,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17731.mp4,C:\SAYSAI\02_clean_data\landmarks\17731.npy,72,126,0.6667,ok
17733,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17733.mp4,,0,126,0.0,error: Could not open video: C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17733.mp4
17734,DRINK,val,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17734.mp4,,0,126,0.0,error: Could not open video: C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17734.mp4
17711,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17711.mp4,C:\SAYSAI\02_clean_data\landmarks\17711.npy,81,126,0.4568,ok
17712,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17712.mp4,C:\SAYSAI\02_clean_data\landmarks\17712.npy,43,126,0.6977,ok
17713,DRINK,test,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17713.mp4,C:\SAYSAI\02_clean_data\landmarks\17713.npy,91,126,0.4835,ok
17709,DRINK,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17709.mp4,C:\SAYSAI\02_clean_data\landmarks\17709.npy,105,126,0.4,ok
27194,HELP,test,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\27194.mp4,C:\SAYSAI\02_clean_data\landmarks\27194.npy,47,126,1.0,ok
69364,HELP,val,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\69364.mp4,C:\SAYSAI\02_clean_data\landmarks\69364.npy,75,126,0.76,ok
27221,HELP,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\27221.mp4,,0,126,0.0,error: Could not open video: C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\27221.mp4
27206,HELP,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\27206.mp4,C:\SAYSAI\02_clean_data\landmarks\27206.npy,71,126,0.6056,ok
27207,HELP,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\27207.mp4,C:\SAYSAI\02_clean_data\landmarks\27207.npy,58,126,0.8103,ok
27208,HELP,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\27208.mp4,C:\SAYSAI\02_clean_data\landmarks\27208.npy,68,126,0.6471,ok
27209,HELP,test,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\27209.mp4,C:\SAYSAI\02_clean_data\landmarks\27209.npy,59,126,0.7797,ok
64275,YES,test,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\64275.mp4,C:\SAYSAI\02_clean_data\landmarks\64275.npy,70,126,1.0,ok
69546,YES,val,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\69546.mp4,C:\SAYSAI\02_clean_data\landmarks\69546.npy,72,126,0.625,ok
64287,YES,val,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\64287.mp4,C:\SAYSAI\02_clean_data\landmarks\64287.npy,68,126,0.7353,ok
68192,YES,val,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\68192.mp4,C:\SAYSAI\02_clean_data\landmarks\68192.npy,86,126,0.6047,ok
64284,YES,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\64284.mp4,C:\SAYSAI\02_clean_data\landmarks\64284.npy,56,126,0.5893,ok
64294,YES,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\64294.mp4,C:\SAYSAI\02_clean_data\landmarks\64294.npy,60,126,0.5833,ok
64295,YES,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\64295.mp4,C:\SAYSAI\02_clean_data\landmarks\64295.npy,60,126,0.6167,ok
64296,YES,train,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\64296.mp4,C:\SAYSAI\02_clean_data\landmarks\64296.npy,120,126,0.275,ok
64297,YES,test,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\64297.mp4,C:\SAYSAI\02_clean_data\landmarks\64297.npy,47,126,0.617,ok
