gloss,normalized_gloss,video_id,split,signer_id,frame_start,frame_end,fps,video_path,usable,reason,url
drink,DRINK,69302,val,115,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\69302.mp4,1,,http://aslbricks.org/New/ASL-Videos/drink.mp4
drink,DRINK,65539,train,94,1,-1,25,,0,missing_video_file,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4
drink,DRINK,70173,val,121,5710,5831,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\70173.mp4,1,,https://www.youtube.com/watch?v=F5Wef1_PtLk
drink,DRINK,68538,val,113,1,71,25,,0,missing_video_file,https://www.youtube.com/watch?v=HZMTQJdBZ9g
drink,DRINK,68042,val,109,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\68042.mp4,1,,https://www.youtube.com/watch?v=KRc_WYI1DgA
drink,DRINK,68660,train,115,1,54,25,,0,missing_video_file,https://www.youtube.com/watch?v=Lk2Vws8homw
drink,DRINK,68041,train,109,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\68041.mp4,1,,https://www.youtube.com/watch?v=Nc7rSopCpI8
drink,DRINK,17725,train,5,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17725.mp4,1,,https://www.youtube.com/watch?v=537MWOtCl78
drink,DRINK,17726,train,5,1,-1,25,,0,missing_video_file,https://www.youtube.com/watch?v=6gU3Ln98sWA
drink,DRINK,17727,train,65,1,-1,25,,0,missing_video_file,https://www.youtube.com/watch?v=Ddd2ZZNFhVI
drink,DRINK,17728,train,5,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17728.mp4,1,,https://www.youtube.com/watch?v=g3rl9_LYqzI
drink,DRINK,17710,train,36,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17710.mp4,1,,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4
drink,DRINK,17729,train,5,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17729.mp4,1,,https://www.youtube.com/watch?v=i0opsQ2zB1Q
drink,DRINK,17730,test,5,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17730.mp4,1,,https://www.youtube.com/watch?v=k6cNmM9WgUs
drink,DRINK,17731,train,5,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17731.mp4,1,,https://www.youtube.com/watch?v=LqJM7wcUixQ
drink,DRINK,17732,train,44,1,-1,25,,0,missing_video_file,http://www.aslpro.com/main/d/drink.swf
drink,DRINK,17733,train,12,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17733.mp4,1,,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4
drink,DRINK,65540,train,94,1,-1,25,,0,missing_video_file,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4
drink,DRINK,17734,val,12,1,-1,25,C:\SAYSAI\01_raw_data\wlasl_10\start_kit\videos\17734.mp4,1,,http://www.aslsearch.com/signs/videos/drink.mp4
